,reading_id,prcp_bool,station,name,latitude,longitude,elevation,date,prcp,tobs
0,0,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-01,0.08,65
1,1,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-02,0.0,63
2,2,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-03,0.0,74
3,3,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-04,0.0,76
4,4,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-06,-10.0,73
5,5,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-07,0.06,70
6,6,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-08,0.0,64
7,7,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-09,0.0,68
8,8,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-10,0.0,73
9,9,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-11,0.01,64
10,10,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-12,0.0,61
11,11,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-14,0.0,66
12,12,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-15,0.0,65
13,13,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-16,0.0,68
14,14,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-17,0.0,64
15,15,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-18,0.0,72
16,16,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-19,0.0,66
17,17,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-20,0.0,66
18,18,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-21,0.0,69
19,19,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-22,0.0,67
20,20,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-23,0.0,67
21,21,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-24,0.01,71
22,22,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-25,0.0,67
23,23,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-26,0.04,76
24,24,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-27,0.12,68
25,25,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-28,0.0,72
26,26,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-30,-10.0,70
27,27,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-01-31,0.03,67
28,28,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-01,0.01,66
29,29,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-03,-10.0,67
30,30,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-04,0.01,69
31,31,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-05,0.0,67
32,32,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-06,0.0,67
33,33,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-07,0.0,64
34,34,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-08,0.0,69
35,35,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-09,0.0,73
36,36,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-11,0.0,73
37,37,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-12,0.02,69
38,38,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-13,0.01,69
39,39,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-14,0.0,69
40,40,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-15,0.0,71
41,41,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-16,0.0,61
42,42,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-17,0.0,69
43,43,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-19,-10.0,63
44,44,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-20,0.03,64
45,45,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-21,0.0,65
46,46,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-22,0.0,67
47,47,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-23,0.0,68
48,48,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-24,0.0,65
49,49,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-25,0.0,76
50,50,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-02-26,0.0,75
